date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2022-02-09,AD,85,0,,,37074,148,,297098
2022-02-10,AE,1588,5,,495628,864102,2278,,130555625
2022-02-09,AF,898,12,,,169448,7477,,
2022-02-11,AF_BAL,0,2,0,,7971,570,7266,
2022-02-11,AF_BAM,26,0,0,,3320,52,3072,
2022-02-11,AF_BDG,0,0,0,,1953,31,1765,
2022-02-11,AF_BDS,0,0,0,,3739,88,3621,
2022-02-11,AF_BGL,20,0,0,,3932,98,3733,
2020-07-19,AF_DAY,220,2,73,,469,3,101,
2022-02-11,AF_FRA,0,0,0,,2393,164,1670,
2022-02-11,AF_FYB,18,0,0,,2087,144,1802,
2022-02-11,AF_GHA,45,0,0,,4376,152,3828,
2022-02-11,AF_GHO,71,0,0,,3427,60,3064,
2022-02-11,AF_HEL,0,1,10,,3624,151,3371,
2020-07-19,AF_HER,409,30,1794,,5296,160,3751,
2020-07-19,AF_JOW,0,0,105,,196,6,188,
2022-02-11,AF_KAB,22,4,0,,29743,2241,27697,
2022-02-11,AF_KAN,62,0,20,,9444,243,9022,
2022-02-11,AF_KAP,0,0,39,,3354,87,2509,
2022-02-11,AF_KDZ,10,1,1,,4521,207,4206,
2022-02-11,AF_KHO,0,0,0,,1884,253,1572,
2022-02-11,AF_KNR,0,0,0,,2364,104,2304,
2022-02-11,AF_LAG,5,0,0,,2535,186,1901,
2022-02-11,AF_LOG,7,0,9,,2732,95,2371,
2022-02-11,AF_NAN,149,0,80,,13178,505,11139,
2020-07-19,AF_NIM,29,1,10,,374,8,314,
2020-07-19,AF_NUR,1,0,0,,75,0,17,
2020-07-19,AF_PAN,25,1,86,,285,16,208,
2022-02-11,AF_PAR,54,0,0,,3201,46,2755,
2020-07-19,AF_PIA,78,10,410,,1168,34,592,
2022-02-11,AF_PKA,12,0,0,,1440,53,1251,
2022-02-11,AF_SAM,3,0,0,,1362,73,1264,
2020-07-19,AF_SAR,0,0,0,,130,6,124,
2022-02-11,AF_TAK,16,0,0,,5425,231,5011,
2022-02-11,AF_URU,0,0,0,,799,20,467,
2022-02-11,AF_WAR,43,1,17,,4804,213,4021,
2022-02-11,AF_ZAB,0,0,0,,2465,80,2020,
2022-02-09,AG,468,3,,,7321,134,,16700
2022-02-09,AI,22,0,,,2458,9,,
2022-02-09,AL,604,3,,2962,267020,3402,,1576432
2022-02-10,AM,2676,31,,6743,402403,8145,,2811771
2022-02-09,AO,21,1,,13038,98474,1897,,1395635
2022-02-11,AR,3139,11,,3844,8712777,123865,,25687521
2022-02-11,AR_A,25,2,,49,154926,3288,,399725
2022-02-10,AR_A_007,2,0,,5,6652,130,,15104
2022-02-11,AR_A_014,1,0,,1,1404,23,,2902
2022-02-10,AR_A_021,0,0,,2,2892,70,,6552
2022-02-11,AR_A_028,13,0,,11,80635,1447,,202927
2022-02-11,AR_A_035,2,0,,3,5406,98,,12431
2022-02-11,AR_A_042,2,0,,0,2932,67,,6826
2022-02-11,AR_A_049,0,1,,1,4994,179,,13889
2022-02-11,AR_A_056,0,0,,11,10699,305,,36412
2022-02-09,AR_A_070,1,0,,2,786,21,,1728
2022-02-11,AR_A_077,1,0,,1,2357,24,,6161
2022-02-10,AR_A_098,0,0,,3,1535,46,,3507
2022-02-10,AR_A_105,2,0,,2,1129,19,,2372
2022-02-11,AR_A_112,2,0,,1,5842,109,,12267
2022-02-11,AR_A_119,2,0,,3,990,7,,2344
2022-02-11,AR_A_126,1,0,,14,11501,374,,38396
2022-02-11,AR_A_133,0,0,,1,2455,60,,6460
2022-02-11,AR_A_140,0,0,,1,3487,89,,7283
2022-02-11,AR_A_147,1,1,,1,5221,158,,11960
2022-02-10,AR_A_154,1,0,,1,1042,23,,2160
2022-02-09,AR_A_161,0,0,,1,1206,16,,3742
2022-02-11,AR_B,1423,0,,1616,3363553,57517,,8730436
2022-02-10,AR_B_007,3,0,,3,2041,25,,4483
2022-02-10,AR_B_014,5,0,,5,1792,27,,3895
2022-02-11,AR_B_021,1,0,,9,2590,34,,7857
2022-02-11,AR_B_028,43,0,,44,111582,2297,,278017
2022-02-11,AR_B_035,23,0,,22,81352,1518,,238090
2022-02-09,AR_B_042,2,0,,3,4014,54,,11119
2022-02-11,AR_B_049,25,0,,27,14076,254,,36565
2022-02-11,AR_B_056,52,0,,31,61545,873,,115019
2022-02-11,AR_B_063,10,0,,10,14932,231,,25568
2022-02-11,AR_B_070,1,0,,2,5857,122,,12593
2022-02-10,AR_B_077,1,0,,3,6122,90,,11012
2022-02-10,AR_B_084,5,0,,7,2323,42,,5092
2022-02-11,AR_B_091,19,0,,14,67936,1218,,160137
2022-02-11,AR_B_098,4,0,,3,20400,359,,46869
2022-02-11,AR_B_105,1,0,,1,11273,160,,40090
2022-02-11,AR_B_112,5,0,,6,10050,219,,25899
2022-02-11,AR_B_119,6,0,,0,5597,77,,10162
2022-02-11,AR_B_126,14,0,,19,24919,326,,54475
2022-02-11,AR_B_134,1,0,,7,11702,156,,29775
2022-02-10,AR_B_140,7,0,,7,3082,49,,6303
2022-02-11,AR_B_147,0,0,,1,4666,94,,10469
2022-02-11,AR_B_154,1,0,,0,2727,38,,4483
2022-02-11,AR_B_161,0,0,,5,3016,50,,8460
2022-02-11,AR_B_168,1,0,,1,1693,23,,3097
2022-02-11,AR_B_175,1,0,,1,5420,97,,9301
2022-02-11,AR_B_182,5,0,,9,6964,130,,11567
2022-02-11,AR_B_189,8,0,,3,3107,51,,5242
2022-02-10,AR_B_196,0,0,,2,2638,99,,6531
2022-02-11,AR_B_203,4,0,,3,8754,141,,20455
2022-02-11,AR_B_210,0,0,,1,13583,202,,30480
